Date,Votes,Clicks,News,Comments,TopVotesId,TopVotesNumber,TopClicksId,TopClicksNumber,TopCommentsId,TopCommentsNumber
2013-08-02,29466,223509,29,2202,1980587,2267,1984626,1252,1983913,266
2013-08-03,15243,130582,19,1595,1984158,1704,1984883,1518,1981496,232
2013-08-01,31458,327777,40,2839,1982829,2092,1984222,1572,1983171,174
2013-08-06,21599,155065,23,1925,1986367,1973,1986927,1437,1977159,203
2013-08-07,23075,207004,27,1881,1986988,2437,1987592,740,1984929,181
2013-08-04,18924,175106,20,2066,1983946,2747,1985612,460,1981763,334
2013-08-05,29401,162103,26,1865,1985435,2438,1986234,289,1983376,223
2013-08-08,25347,248074,29,2393,1987329,2246,1988499,438,1987243,186
2013-08-09,19506,168815,22,1494,1989115,2130,1989115,2130,1988388,119
2013-06-29,15788,167438,21,1792,1959130,1827,1959630,398,1956949,500
2013-06-28,36709,323694,41,3233,1958574,4731,1959220,1112,1958574,268
2013-06-27,26858,209229,34,2251,1957328,2216,1958417,987,1953167,194
2013-06-26,29923,180181,30,2416,1955540,3061,1957453,1102,1950649,322
2013-06-25,29034,272741,42,2207,1955693,2258,1956289,670,1955693,135
2013-06-24,32076,225153,39,2423,1954946,1979,1955457,958,1954946,197
2013-06-23,17473,201245,28,1832,1954498,1632,1954770,448,1954391,183
2013-06-22,24483,157919,27,2155,1951795,1995,1954213,1635,1940952,324
2013-06-21,28882,205772,32,2382,1953897,2064,1953897,2064,1951784,232
2013-06-20,30310,234410,37,3042,1951311,1794,1952927,585,1947801,253
2012-09-30,40898,229465,32,2693,1721246,4328,1724542,652,1721246,245
2013-09-22,18155,151450,30,1800,2019199,1363,2019270,749,2019111,334
2013-09-23,27175,346972,57,4182,2018538,1501,2020241,323,2018889,315
2013-09-20,29077,195476,35,2796,2017209,1943,2018154,585,2016656,217
2013-09-21,28796,236154,34,2867,2018932,2154,2018932,2154,2017526,366
2013-08-18,7889,105225,10,668,1992399,1859,1993743,816,1992399,120
2013-08-19,29380,347460,38,2860,1993564,1783,1994409,865,1991124,176
2013-08-10,21186,172657,23,1567,1984404,2768,1989652,447,1984404,276
2013-08-11,12331,149658,16,1125,1990116,2366,1990118,1588,1987560,145
2013-08-12,31407,264488,31,2782,1985834,4620,1990824,873,1985834,367
2013-08-13,22948,263834,33,2503,1989528,2110,1991301,1055,1988976,229
2013-08-14,27993,224271,37,3292,1987641,1600,1992092,987,1985876,285
2013-08-15,21395,212513,25,1681,1988526,1576,1992596,722,1988526,166
2013-08-16,27013,248569,32,2436,1992169,1891,1992988,1637,1990501,233
2013-08-17,7927,121500,11,834,1993242,1373,1993313,883,1991015,163
2013-04-30,37333,223993,36,2946,1907405,3383,1908968,860,1905409,176
2012-11-30,52629,383362,44,3238,1770056,3890,1777580,902,1770056,236
2012-10-09,51386,359726,47,3528,1731675,2896,1732121,1653,1719697,198
2012-10-08,34650,204358,31,2240,1720643,4655,1731328,432,1720643,253
2012-10-01,50808,265697,42,3025,1723850,2267,1725388,761,1723430,204
2012-10-03,38018,195753,33,2150,1726475,2839,1727583,918,1726475,127
2012-10-02,55142,296351,44,3312,1721767,3238,1726249,1442,1725649,165
2012-10-05,44472,317988,43,2832,1727461,2630,1729222,1320,1728430,202
2012-10-04,47323,384757,39,3610,1721764,3629,1728406,1800,1725151,269
2012-10-07,24904,154302,17,1470,1729843,4313,1730479,1837,1729843,279
2012-10-06,25843,196037,26,1924,1724417,2391,1729953,1591,1726287,269
2013-07-31,24401,209929,27,2722,1979104,3369,1982949,1438,1979104,500
2013-07-30,26346,212516,23,2344,1981557,3001,1982203,852,1981557,262
2013-03-31,10674,98635,15,998,1880967,2113,1881475,282,1880967,256
2013-03-30,20807,159701,29,2262,1878635,1939,1880904,892,1877838,255
